id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url,combined_features
1QmCRcCgIBWhZwERTJoTwX,"Mental Manadhil (From ""O Kadhal Kanmani"")",A.R. Rahman,"Mental Manadhil (From ""O Kadhal Kanmani"")",2015-03-20,26,210000,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273a1d7cabe6333ee97f8d6e6b1,"A.R. Rahman Mental Manadhil (From ""O Kadhal Kanmani"") tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
5KZyOG8LZsBrHjuEdNyZHa,Omana Penne,A.R. Rahman,Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack),2010-01-11,58,332586,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27304e62c113ddc91c2957f53c1,"A.R. Rahman Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
1ZbfvUHBfdODgIL70sk6XR,Aathangara Orathil,Harris Jayaraj,Yaan (Original Motion Picture Soundtrack),2014-05-14,57,264666,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273cd4b597d4ab359d5075e04c7,"Harris Jayaraj Yaan (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance"
0uEtUhy8xAX1fJFiqNs5sr,Kaara Aattakkaara,A.R. Rahman,O Kadhal Kanmani (Original Motion Picture Soundtrack),2015-04-07,48,336810,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2732318539f1b037d942fafa581,"A.R. Rahman O Kadhal Kanmani (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
1VBkQidkoJXhQPJsAvSkNP,Nenjukulla Nee,"Vijay Prakash,Diwakar,Ajesh",Vadacurry (Original Motion Picture Soundtrack),2014-09-16,0,298760,,https://i.scdn.co/image/ab67616d0000b2738d0487e5174d5656795c7b84,"Vijay Prakash,Diwakar,Ajesh Vadacurry (Original Motion Picture Soundtrack) "
6NwEpX2JUWHVKWfDDfcqC4,Idhazhin Oram - The Innocence of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),2011-12-23,67,204866,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2730d66934f5370419636c78f18,"Anirudh Ravichander 3 (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop"
3YfG9ch4qcYbDhwVtDuzQm,"Thuli Thuli (From ""Paiya"")",Yuvan Shankar Raja,All About Love: Yuvanshankar Raja,2018-08-31,51,283346,"tamil pop, kollywood, tamil dance, tamil hip hop, tollywood",https://i.scdn.co/image/ab67616d0000b273cbb852c7ef0daf9f87816138,"Yuvan Shankar Raja All About Love: Yuvanshankar Raja tamil pop, kollywood, tamil dance, tamil hip hop, tollywood"
7JqpYvigO9X4QY3W9QTArZ,Arabu Naadu,Haricharan,Thottal Poo Malarum,2007-06-30,52,322013,"mollywood, tamil pop, tollywood, telugu pop, malayalam pop, kollywood, tamil dance, kannada pop",https://i.scdn.co/image/ab67616d0000b273d3666287f1544231a4c39346,"Haricharan Thottal Poo Malarum mollywood, tamil pop, tollywood, telugu pop, malayalam pop, kollywood, tamil dance, kannada pop"
0j5PDjpBsLIEQdRVSoXFBv,Kanaa Kaangiren,G. V. Prakash,Anandha Thaandavam (Original Motion Picture Soundtrack),2008-10-03,56,345560,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b2737648a068e9518d1aaa15e1b5,"G. V. Prakash Anandha Thaandavam (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance, tollywood, tamil hip hop"
2HMHzctE8A400bsLxcWwya,"Sandakari Neethan (From ""Sangathamizhan"")",Vivek - Mervin,"Sandakari Neethan (From ""Sangathamizhan"")",2019-09-13,53,250000,"tamil pop, tamil dance, kollywood, tamil indie",https://i.scdn.co/image/ab67616d0000b273e11695e15d77c24e4f1acc57,"Vivek - Mervin Sandakari Neethan (From ""Sangathamizhan"") tamil pop, tamil dance, kollywood, tamil indie"
3h0W7VWNFZsll7EHTAQWlh,Minnalgal Koothadum,Karthik,Polladhavan (Original Motion Picture Soundtrack),2021-06-15,0,409547,"telugu pop, tollywood, tamil pop, kollywood, kannada pop, tamil dance, malayalam pop, mollywood",https://i.scdn.co/image/ab67616d0000b27374d5c04c496f12e839948f45,"Karthik Polladhavan (Original Motion Picture Soundtrack) telugu pop, tollywood, tamil pop, kollywood, kannada pop, tamil dance, malayalam pop, mollywood"
68kb4S1XJcLO9jn6sDwSU1,Kannukkul Kannai,A.R. Rahman,Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack),2010-01-11,51,232840,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27304e62c113ddc91c2957f53c1,"A.R. Rahman Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
7mMkw0JFKnyMS6oGRT6b3O,Mannipaaya,A.R. Rahman,Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack),2010-01-11,57,416320,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27304e62c113ddc91c2957f53c1,"A.R. Rahman Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
3hw1iGc2WAhHG4DFPcu80r,Loosu Pennae,Silambarasan TR,Vallavan (Original Motion Picture Soundtrack),2006-06-01,0,407447,"tamil dance, tamil pop, kollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b273a48ce77419d7545cca941e7a,"Silambarasan TR Vallavan (Original Motion Picture Soundtrack) tamil dance, tamil pop, kollywood, tamil hip hop"
6XmBh5HSdVzEAaqzEftL9t,Adi Penne (Duet) - From Naam Series,Stephen Zechariah,Adi Penne (Duet) [From Naam Series],2021-03-08,62,301862,"tamil indie, tamil hip hop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b27375dda072b4aeb883ac58347b,"Stephen Zechariah Adi Penne (Duet) [From Naam Series] tamil indie, tamil hip hop, tamil pop, kollywood"
1AbSrAwrzuC3FcDXoYi3ED,Naan Nee,Santhosh Narayanan,Madras (Original Motion Picture Soundtrack),2014-06-23,64,253582,"tamil pop, kollywood, tamil hip hop, tamil dance",https://i.scdn.co/image/ab67616d0000b27399aa1a7878bfb3075d81ebc6,"Santhosh Narayanan Madras (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil hip hop, tamil dance"
0yfkqxC4FblTDte3qQywh4,Nalla Nanban,Mohan C Lazarus,Sinthanai Sei Maname,1986-01-01,0,369266,,https://i.scdn.co/image/ab67616d0000b2731470504143d06f76a4965af1,Mohan C Lazarus Sinthanai Sei Maname 
5Dt0kqbOGI2YXeJ2X94na6,Nee Vandhu Ponadhu,Harris Jayaraj,Yaan (Original Motion Picture Soundtrack),2014-05-14,32,384626,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273cd4b597d4ab359d5075e04c7,"Harris Jayaraj Yaan (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance"
6cZcVAjgELRB6w9h6jaYtJ,Thozhiya,Harish Raghavendra,Kadhalil Vizhundhen,2007-12-07,54,296724,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b273a6aa244dc7a4785cbd19b40a,"Harish Raghavendra Kadhalil Vizhundhen tamil pop, kollywood, telugu pop, tollywood"
1zAkNzJZVPrWDCnowb1vpZ,Oh Penne,Anirudh Ravichander,Vanakkam Chennai (Original Motion Picture Soundtrack),2013-07-31,62,276400,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b27335e00bf518c28471731ee55c,"Anirudh Ravichander Vanakkam Chennai (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop"
06urexU7lv41RDdLnMzChi,Oh! Shanthi Shanthi,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,55,183533,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1,"Harris Jayaraj Vaaranam Aayiram (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance"
7xV3MCJ6YI3K4I6Jt1a9H7,Osaka Osaka,Anirudh Ravichander,Vanakkam Chennai (Original Motion Picture Soundtrack),2013-07-31,56,368106,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b27335e00bf518c28471731ee55c,"Anirudh Ravichander Vanakkam Chennai (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop"
5v7gCLVyLgpO5L6zdeXULd,Sonapareeya,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),2013-05-13,55,249293,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273453744769f58164eb7dd90c8,"A.R. Rahman Maryan (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
6zdikHQs2PBFgGIZBxqOeV,Po Nee Po - The Pain of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),2011-12-23,63,251786,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2730d66934f5370419636c78f18,"Anirudh Ravichander 3 (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop"
0bsKVzQqZj7mgEHhP3yZmw,Tamil Pasanga,G. V. Prakash,Thalaivaa (Original Motion Picture Soundtrack),2013-06-21,37,307493,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b2736a567a1c612bb9c3985a5a5f,"G. V. Prakash Thalaivaa (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance, tollywood, tamil hip hop"
1PSz9VCtLOo4sgcFluNMPu,Mayam Seidhayo,Vijay Antony,Velayudham (Original Motion Picture Soundtrack),2011-08-29,48,254653,"tamil dance, tamil pop, kollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b273fb28a69b4a27faf048a7b2d3,"Vijay Antony Velayudham (Original Motion Picture Soundtrack) tamil dance, tamil pop, kollywood, tamil hip hop"
1QuZBM0iHDlr1oRVyeZypC,Anbil Avan,A.R. Rahman,Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack),2010-01-11,60,251973,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27304e62c113ddc91c2957f53c1,"A.R. Rahman Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
25SOVnk2agskqzqeKPcx2Q,Ennamo Yeadho,Harris Jayaraj,KO (Original Motion Picture Soundtrack),2011-01-17,60,333600,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b27378a96ace966dd335eb2c4608,"Harris Jayaraj KO (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance"
5qUUHbdBGrTdYVJdU203tH,Thangamey,Anirudh Ravichander,Thangamey (From Naanum Rowdy Dhaan) (Single),2015-09-23,0,262539,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273cb75ed4870b628930f4ecd01,"Anirudh Ravichander Thangamey (From Naanum Rowdy Dhaan) (Single) tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop"
6KWsuiBTwYuAteJE7KroeS,Vaadi Vaadi,Ghibran,Chennai 2 Singapore (Original Motion Picture Soundtrack),2016-09-05,37,230391,"tamil pop, kollywood, devotional",https://i.scdn.co/image/ab67616d0000b273ccdc6d447adb386811428a44,"Ghibran Chennai 2 Singapore (Original Motion Picture Soundtrack) tamil pop, kollywood, devotional"
5jOyihaZdfIp5Frb3FTGuF,"Hosanna (From ""Vinnathaandi Varuvaayaa"")",A.R. Rahman,Playback: Kaadhal Galatta - Fun Tamil Love Songs,2015-02-12,18,330546,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2730114543aaab6382e633ceb1d,"A.R. Rahman Playback: Kaadhal Galatta - Fun Tamil Love Songs tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
0LA3US8io1lgFoY7YSypct,Varayo En Thozhi,Sonu Nigam,Jeans (Original Motion Picture Soundtrack),1998-06-27,43,348163,"kannada pop, bollywood, sandalwood, hindi pop, desi, marathi pop",https://i.scdn.co/image/ab67616d0000b27378248070d378199ec5a2f7c8,"Sonu Nigam Jeans (Original Motion Picture Soundtrack) kannada pop, bollywood, sandalwood, hindi pop, desi, marathi pop"
