id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
5FfRt0NaBuDIHpRgsiCkWu,Anbae Anbae,Hariharan,Jeans (Original Motion Picture Soundtrack),1998-06-27,56,332428,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b27378248070d378199ec5a2f7c8
2yqDYVdqDTdLCapVQC4Ai7,Yaro Yarodi,Mahalakshmi Iyer,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,344840,"bollywood, desi, hindi pop",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0
1EZhqgL0GEazZRiiNCTUIe,September Madham,Asha Bhosle,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,307013,"ghazal, marathi pop, bangla pop, bollywood, hindi pop",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0
7AkzozQlhMtap4UReNhFKJ,Pachai Nirame,Hariharan,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,358560,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0
2uMna3stB334N2PyWJyVAx,Kadhal Sadugudu,S.P. Charan,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,273866,"telugu pop, tollywood, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0
05lZgm6JlKxKbTXeHYzIG1,Evano Oruvan,Swarnalatha,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,356413,"tamil pop, tamil dance, kollywood",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0
2HKoYSvQNq9Tx7KjpiBiYM,Alaipayuthey,Kalyani Menon,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,221266,"tamil pop, malayalam pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0
1xMjm5Qar9oGMgoSZxRb6h,Oday Oday,G. V. Prakash,Raja Rani (Original Motion Picture Soundtrack),2013-08-23,43,271000,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b27384e60191c6706523261a8bef
1j43t49cLbeCiRpwTsAq4B,Yenna Solla Pogirai,Shankar Mahadevan,Introducing Shankar Mahadevan: The Voice Of India Today,2007-04-24,0,359920,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b27359c821164ca7d426bc6a3096
7lnRiEP7BHXuILXNY9MH8f,Otha Sollaala,G. V. Prakash,Aadukalam (Original Motion Picture Soundtrack),2010-11-08,63,238986,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b27334b1bdfeeb594c3295a2c17f
5S58zsYhVV4loJFTOrxFDE,Sandhipoma,A.R. Rahman,Enakku 20 Unakku 18,2003-12-05,0,336128,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2738b2f8fbf833254e2822a60fd
